"query","matched_name","ott_id","approx_match","flags","in_tree"
"athene cunicularia","Athene cunicularia",944695,FALSE,"sibling_higher",TRUE
"atta cephalotes","Atta cephalotes",709966,FALSE,"",TRUE
"atta colombica","Atta colombica",717333,FALSE,"",TRUE
"aureobasidium namibiae","Aureobasidium pullulans",61554,FALSE,"",TRUE
"aureobasidium pullulans","Aureobasidium pullulans",61554,FALSE,"",TRUE
"aureobasidium subglaciale","Aureobasidium pullulans",61554,FALSE,"",TRUE
"aureococcus anophagefferens","Aureococcus anophagefferens",533286,FALSE,"",TRUE
"auricularia subglabra","Auricularia subglabra",4935361,FALSE,"",TRUE
"austrofundulus limnaeus","Austrofundulus limnaeus",495268,FALSE,"",TRUE
"auxenochlorella protothecoides","Auxenochlorella protothecoides",339027,FALSE,"",TRUE
"aythya fuligula","Aythya fuligula",817992,FALSE,"",TRUE
"babesia bigemina","Babesia bigemina",826550,FALSE,"",TRUE
"babesia bovis","Babesia bovis",826545,FALSE,"",TRUE
"babesia microti","Babesia microti",826544,FALSE,"",TRUE
"babesia ovata","Babesia ovata",488545,FALSE,"",TRUE
"babjeviella inositovora","Babjeviella inositovora",337190,FALSE,"",TRUE
"bactrocera dorsalis","Bactrocera dorsalis",446866,FALSE,"",TRUE
"bactrocera latifrons","Bactrocera latifrons",672210,FALSE,"",TRUE
"bactrocera oleae","Bactrocera oleae",702964,FALSE,"",TRUE
"balearica regulorum","Balearica regulorum",191006,FALSE,"",TRUE
"bathycoccus prasinos","Bathycoccus prasinos",698291,FALSE,"",TRUE
"batrachochytrium dendrobatidis","Batrachochytrium dendrobatidis",858873,FALSE,"major_rank_conflict_inherited",FALSE
"baudoinia panamericana","Baudoinia panamericana",5715077,FALSE,"",TRUE
"beauveria bassiana","Beauveria bassiana",859705,FALSE,"",TRUE
"belonocnema treatae","Belonocnema treatae",822052,FALSE,"",TRUE
"bemisia tabaci","Bemisia tabaci",290577,FALSE,"",TRUE
"besnoitia besnoiti","Besnoitia besnoiti",849524,FALSE,"",TRUE
"beta vulgaris","Beta vulgaris",273185,FALSE,"",TRUE
"betta splendens","Betta splendens",1033356,FALSE,"",TRUE
"bicyclus anynana","Bicyclus anynana",559934,FALSE,"",TRUE
"bigelowiella natans","Bigelowiella natans",5260606,FALSE,"",TRUE
"biomphalaria glabrata","Biomphalaria glabrata",673791,FALSE,"sibling_higher",TRUE
"bipolaris maydis","Bipolaris maydis",1042273,FALSE,"",TRUE
"bipolaris oryzae","Bipolaris oryzae",448808,FALSE,"",TRUE
"bipolaris sorokiniana","Bipolaris sorokiniana",204741,FALSE,"",TRUE
"bipolaris victoriae","Bipolaris victoriae",779625,FALSE,"",TRUE
"bipolaris zeicola","Bipolaris zeicola",406098,FALSE,"",TRUE
"bison bison","Bison bison",907693,FALSE,"",TRUE
"blastocystis hominis","Blastocystis hominis (species in subkingdom SAR)",316473,FALSE,"",TRUE
"blastomyces gilchristii","Blastomyces gilchristii",5291598,FALSE,"",TRUE
"boleophthalmus pectinirostris","Boleophthalmus pectinirostris",47553,FALSE,"",TRUE
"bombus bifarius","Bombus bifarius",689191,FALSE,"",TRUE
"bombus impatiens","Bombus impatiens",42692,FALSE,"",TRUE
"bombus terrestris","Bombus terrestris (species in domain Eukaryota)",161197,FALSE,"",TRUE
"bombus vancouverensis","Bombus vancouverensis",7853681,FALSE,"sibling_higher",TRUE
"bombus vosnesenskii","Bombus vosnesenskii",35518,FALSE,"",TRUE
"bombyx mandarina","Bombyx mandarina",440269,FALSE,"",TRUE
"bombyx mori","Bombyx mori",440274,FALSE,"",TRUE
"bos indicus","Bos indicus",490109,FALSE,"",TRUE
"bos mutus","Bos mutus",905084,FALSE,"",TRUE
"bos taurus","Bos taurus",490099,FALSE,"",TRUE
"botrytis cinerea","Botrytis cinerea",17713,FALSE,"",TRUE
"brachypodium distachyon","Brachypodium distachyon",413237,FALSE,"",TRUE
"branchiostoma belcheri","Branchiostoma belcheri",406564,FALSE,"",TRUE
"branchiostoma floridae","Branchiostoma floridae",176532,FALSE,"",TRUE
"brassica napus","Brassica napus",309234,FALSE,"",TRUE
"brassica oleracea","Brassica oleracea",833642,FALSE,"",TRUE
"brassica rapa","Brassica rapa",833632,FALSE,"",TRUE
"brugia malayi","Brugia malayi",295367,FALSE,"",TRUE
"bubalus bubalis","Bubalus bubalis",641187,FALSE,"",TRUE
"buceros rhinoceros","Buceros rhinoceros",785189,FALSE,"",TRUE
"byssochlamys spectabilis","Byssochlamys spectabilis",653422,FALSE,"",TRUE
"caenorhabditis elegans","Caenorhabditis elegans",395048,FALSE,"",TRUE
"caenorhabditis remanei","Caenorhabditis remanei",396902,FALSE,"",TRUE
"cajanus cajan","Cajanus cajan",612448,FALSE,"",TRUE
"calidris pugnax","Calidris pugnax",1090732,FALSE,"sibling_higher",TRUE
"callithrix jacchus","Callithrix jacchus",1015223,FALSE,"",TRUE
"callorhinus ursinus","Callorhinus ursinus",949693,FALSE,"",TRUE
"calypte anna","Calypte anna",810756,FALSE,"",TRUE
"camarhynchus parvulus","Camarhynchus parvulus",419367,FALSE,"",TRUE
"camelina sativa","Camelina sativa",776348,FALSE,"",TRUE
"camelus bactrianus","Camelus bactrianus",510768,FALSE,"",TRUE
"camelus dromedarius","Camelus dromedarius",510752,FALSE,"",TRUE
"camelus ferus","Camelus ferus",596642,FALSE,"",TRUE
"camponotus floridanus","Camponotus floridanus",897070,FALSE,"sibling_higher",TRUE
"candida albicans","Candida albicans",154960,FALSE,"",TRUE
"candida auris","[Candida] auris",271373,FALSE,"",TRUE
"candida dubliniensis","Candida dubliniensis",148759,FALSE,"",TRUE
"candida duobushaemulonis","[Candida] duobushaemulonis",804238,FALSE,"",TRUE
"candida glabrata","[Candida] glabrata",718605,FALSE,"",TRUE
"candida haemuloni","[Candida] haemulonis",804235,TRUE,"",TRUE
"candida orthopsilosis","Candida orthopsilosis",147912,FALSE,"",TRUE
"candida pseudohaemulonis","[Candida] pseudohaemulonis",923361,FALSE,"",TRUE
"candida tropicalis","Candida tropicalis",408236,FALSE,"",TRUE
"candida viswanathii","Candida viswanathii",408228,FALSE,"",TRUE
"canis lupus","Canis lupus",247341,FALSE,"",TRUE
"capra hircus","Capra hircus (species in domain Eukaryota)",19017,FALSE,"",TRUE
"capronia coronata","Capronia coronata",360991,FALSE,"",TRUE
"capronia epimyces","Capronia epimyces",360990,FALSE,"",TRUE
"capsaspora owczarzaki","Capsaspora owczarzaki",1053060,FALSE,"",TRUE
"capsella rubella","Capsella rubella",19798,FALSE,"",TRUE
"capsicum annuum","Capsicum annuum",473836,FALSE,"",TRUE
"carassius auratus","Carassius auratus",1005907,FALSE,"",TRUE
"cariama cristata","Cariama cristata",86685,FALSE,"",TRUE
"carica papaya","Carica papaya",429474,FALSE,"",TRUE
"carlito syrichta","Carlito syrichta",339031,FALSE,"",TRUE
"castor canadensis","Castor canadensis",886085,FALSE,"",TRUE
"catharus ustulatus","Catharus ustulatus",489372,FALSE,"",TRUE
"cavenderia fasciculata","Cavenderia fasciculata",543977,FALSE,"",TRUE
"cavia porcellus","Cavia porcellus",744000,FALSE,"",TRUE
"cebus capucinus","Cebus capucinus",217252,FALSE,"",TRUE
"cephus cinctus","Cephus cinctus",377587,FALSE,"",TRUE
"ceraceosorus guamensis","Ceraceosorus guamensis",5699052,FALSE,"",TRUE
"ceratina calcarata","Ceratina calcarata",637306,FALSE,"",TRUE
"ceratitis capitata","Ceratitis capitata",34902,FALSE,"",TRUE
"ceratosolen solmsi","Ceratosolen solmsi",141535,FALSE,"",TRUE
"ceratotherium simum","Ceratotherium simum",1034198,FALSE,"",TRUE
"cercocebus atys","Cercocebus atys",268349,FALSE,"",TRUE
"cercospora beticola","Cercospora beticola",444411,FALSE,"sibling_higher",TRUE
"chaetomium globosum","Chaetomium globosum",474230,FALSE,"sibling_higher",TRUE
"chaetomium thermophilum","Chaetomium thermophilum",863516,FALSE,"sibling_higher",TRUE
"chaetura pelagica","Chaetura pelagica",609785,FALSE,"",TRUE
"chanos chanos","Chanos chanos",575844,FALSE,"",TRUE
"charadrius vociferus","Charadrius vociferus",661811,FALSE,"",TRUE
"chelonia mydas","Chelonia mydas",559133,FALSE,"",TRUE
"chelonoidis abingdonii","Chelonoidis abingdonii",1090893,FALSE,"",TRUE
"chelonus insularis","Chelonus insularis",43838,FALSE,"",TRUE
"chenopodium quinoa","Chenopodium quinoa",117198,FALSE,"",TRUE
"chinchilla lanigera","Chinchilla lanigera",173054,FALSE,"",TRUE
"chiroxiphia lanceolata","Chiroxiphia lanceolata",590809,FALSE,"",TRUE
"chlamydomonas reinhardtii","Chlamydomonas reinhardtii",33153,FALSE,"",TRUE
"chlamydotis macqueenii","Chlamydotis macqueenii",787600,FALSE,"",TRUE
"chlorella variabilis","Chlorella variabilis",950958,FALSE,"",TRUE
"chlorocebus sabaeus","Chlorocebus sabaeus",571316,FALSE,"",TRUE
"chondrus crispus","Chondrus crispus",878946,FALSE,"",TRUE
"chrysemys picta","Chrysemys picta",587300,FALSE,"",TRUE
"chrysochloris asiatica","Chrysochloris asiatica",1094517,FALSE,"",TRUE
"cicer arietinum","Cicer arietinum",612429,FALSE,"",TRUE
"cimex lectularius","Cimex lectularius",257326,FALSE,"",TRUE
"ciona intestinalis","Ciona intestinalis",744224,FALSE,"",TRUE
"citrus clementina","Citrus clementina",236255,FALSE,"sibling_higher",TRUE
"citrus sinensis","Citrus sinensis",3942433,FALSE,"sibling_higher",TRUE
"cladophialophora bantiana","Cladophialophora bantiana",757326,FALSE,"",TRUE
"cladophialophora carrionii","Cladophialophora carrionii",849118,FALSE,"",TRUE
"cladophialophora immunda","Cladophialophora immunda",257213,FALSE,"",TRUE
"cladophialophora psammophila","Cladophialophora psammophila",397173,FALSE,"",TRUE
"cladophialophora yegresii","Cladophialophora yegresii",257223,FALSE,"",TRUE
"clavispora lusitaniae","Clavispora lusitaniae",213939,FALSE,"",TRUE
"clupea harengus","Clupea harengus",1005932,FALSE,"",TRUE
"coccidioides immitis","Coccidioides immitis",838981,FALSE,"sibling_higher",TRUE
"coccidioides posadasii","Coccidioides posadasii",310187,FALSE,"sibling_higher",TRUE
"coccomyxa subellipsoidea","Coccomyxa subellipsoidea",270985,FALSE,"",TRUE
"coffea arabica","Coffea arabica",1001050,FALSE,"sibling_higher",TRUE
"coffea eugenioides","Coffea eugenioides",478405,FALSE,"sibling_higher",TRUE
"colius striatus","Colius striatus",462544,FALSE,"",TRUE
"colletotrichum fioriniae","Colletotrichum fioriniae",540364,FALSE,"",TRUE
"colletotrichum fructicola","Colletotrichum fructicola",594038,FALSE,"",TRUE
