species	clade	dnds	te_total_copies	te_richness	n_recent_arrivals	arrival_fraction	genome_size_bp
Drosophila_elegans	Insecta	0.047623575895708	65787.0	475	26	0.0547368421052631	171267669
Drosophila_erecta	Insecta	0.062538743011101	40218.0	360	39	0.1083333333333333	146538397
Drosophila_eugracilis	Insecta	0.02977118784767	57302.0	483	34	0.0703933747412008	156942009
Drosophila_ficusphila	Insecta	0.034290402001891	38041.0	343	58	0.1690962099125364	152439475
Drosophila_guanche	Insecta	0.051184540696013	52331.0	187	31	0.1657754010695187	140653667
Drosophila_hydei	Insecta	0.038701924522515	23172.0	116	10	0.0862068965517241	153741574
Drosophila_innubila	Insecta	0.037668037594666	107661.0	367	24	0.0653950953678474	167978031
Drosophila_kikkawai	Insecta	0.030470317423323	62145.0	446	50	0.1121076233183856	164292578
Drosophila_mauritiana	Insecta	0.047413063168764	41332.0	375	77	0.2053333333333333	152313266
Drosophila_melanogaster	Insecta	0.047954248725159	38849.0	425	60	0.1411764705882353	143726002
Drosophila_novamexicana	Insecta	0.042583353179418	89990.0	339	19	0.0560471976401179	177223868
Drosophila_obscura	Insecta	0.065760065459858	68155.0	409	26	0.0635696821515892	181868570
Drosophila_persimilis	Insecta	0.053442513383031	104694.0	528	98	0.1856060606060606	195512972
Drosophila_sechellia	Insecta	0.0654931572144	40631.0	393	69	0.1755725190839694	154170815
Drosophila_serrata	Insecta	0.035189275624428	88830.0	368	44	0.1195652173913043	198035861
Drosophila_simulans	Insecta	0.047703226024646	20932.0	207	32	0.1545893719806763	124963774
Drosophila_suzukii	Insecta	0.040543193491232	135756.0	726	43	0.059228650137741	232923092
Drosophila_takahashii	Insecta	0.045868512179358	119823.0	554	82	0.148014440433213	182106768
Drosophila_virilis	Insecta	0.041463181287443	120911.0	417	27	0.0647482014388489	189443829
Galleria_mellonella	Insecta	0.040259258315498	1153874.0	754	22	0.0291777188328912	401914826
Hyposmocoma_kahamanoa	Insecta	0.045170667014056	1809375.0	1559	56	0.0359204618345093	731440758
Lucilia_cuprina	Insecta	0.031819923060612	543129.0	901	29	0.0321864594894561	378290214
Manduca_sexta	Insecta	0.041930526557126	528232.0	519	36	0.0693641618497109	419424057
Megachile_rotundata	Insecta	0.059369457425288	92582.0	358	31	0.0865921787709497	272660569
Melanaphis_sacchari	Insecta	0.055370143250825	85672.0	174	7	0.0402298850574712	300271876
Myzus_persicae	Insecta	0.047831920398154	149578.0	349	4	0.0114613180515759	347313470
Nasonia_vitripennis	Insecta	0.043994963620045	143757.0	477	27	0.0566037735849056	297309692
Neodiprion_lecontei	Insecta	0.043153158811374	85237.0	390	9	0.023076923076923	239677193
Nicrophorus_vespilloides	Insecta	0.047988823959784	114938.0	333	14	0.042042042042042	195273382
Orussus_abietinus	Insecta	0.044308543554376	123658.0	427	10	0.0234192037470726	186398216
Osmia_bicornis_bicornis	Insecta	0.078070680570215	102332.0	594	75	0.1262626262626262	210591136
Osmia_lignaria	Insecta	0.084836277662353	47384.0	195	28	0.1435897435897435	177071571
Photinus_pyralis	Insecta	0.045271711730361	644627.0	1656	180	0.108695652173913	471511253
Pieris_rapae	Insecta	0.038895385508937	327405.0	614	38	0.0618892508143322	245886408
Plutella_xylostella	Insecta	0.056859647415403	237036.0	638	146	0.2288401253918495	393470562
Scaptodrosophila_lebanonensis	Insecta	0.048252971869985	203156.0	668	59	0.0883233532934131	247077949
